SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
崙背,雲林縣,88,細懸浮微粒,普通,4.6,0.35,0.3,47,16,61,34,8,9.2,1.2,1,280,2018-07-17 09:00,31,54,23.757547,120.348742
富貴角,新北市,13,,良好,0.3,0.04,0.1,11,10,14,3,0.9,2,1.1,9.5,81,2018-07-17 09:00,4,14,25.298562,121.536763
麥寮,雲林縣,84,細懸浮微粒,普通,3.8,0.39,0.3,40,17,89,38,11,14,2.9,1.3,181,2018-07-17 09:00,29,77,23.753506,120.251825
關山,臺東縣,15,,良好,1.7,-,,7.6,7,8,5,2.5,7.9,5.4,1.9,22,2018-07-17 09:00,5,5,23.045083,121.161933
馬公,澎湖縣,34,,良好,2.4,0.08,0.1,11,15,26,13,2.3,4.7,2.4,1.9,272,2018-07-17 09:00,10,28,23.569031,119.566158
金門,金門縣,24,,良好,1.8,,0.1,15,13,28,6,2,3.9,1.9,,,2018-07-17 09:00,5,26,24.432133,118.312256
馬祖,連江縣,26,,良好,2.5,0.09,0.1,11,10,32,4,,,,3.8,328,2018-07-17 09:00,5,28,26.160469,119.949875
埔里,南投縣,85,細懸浮微粒,普通,2.7,0.37,0.3,36,15,43,33,9.1,12,2.8,1.4,334,2018-07-17 09:00,29,40,23.968842,120.967903
復興,高雄市,35,,良好,6.1,0.91,0.4,32,28,40,14,18,23,5.1,1.2,252,2018-07-17 09:00,11,35,22.608711,120.312017
永和,新北市,16,,良好,1.9,0.47,0.2,8.4,10,9,6,5,16,11,3,93,2018-07-17 09:00,5,7,25.017,121.516306
竹山,南投縣,104,細懸浮微粒,對敏感族群不健康,1.9,0.23,0.2,52,22,55,33,3.8,6,2.2,1.5,189,2018-07-17 09:00,37,58,23.756389,120.677306
中壢,桃園市,22,,良好,3.5,1.1,0.5,3.8,5,32,ND,12,48,36,2.9,294,2018-07-17 09:00,4,24,24.953278,121.221667
三重,新北市,23,,良好,2.3,1.34,0.6,-,,26,7,15,90,76,,,2018-07-17 09:00,5,25,25.072611,121.493806
冬山,宜蘭縣,17,,良好,3.5,0.16,0.2,7.3,5,20,5,4.5,14,9.4,4.7,158,2018-07-17 09:00,5,18,24.632203,121.792928
宜蘭,宜蘭縣,17,,良好,1.9,0.16,0.1,10,8,21,ND,2,4.8,2.8,5.3,125,2018-07-17 09:00,1,18,24.747917,121.746394
陽明,臺北市,9,,良好,1.6,0.07,0.1,9.4,10,10,3,0.8,1.6,0.7,,,2018-07-17 09:00,2,6,25.182722,121.529583
花蓮,花蓮縣,15,,良好,1.7,0.19,0.1,8.2,6,14,ND,3.9,7.9,4.1,1,132,2018-07-17 09:00,2,16,23.971306,121.599769
臺東,臺東縣,12,,良好,1,0.24,0.1,7.7,9,13,4,3.5,6.9,3.4,2.3,343,2018-07-17 09:00,4,12,22.755358,121.15045
恆春,屏東縣,15,,良好,1.9,0.06,0.1,13,14,21,6,0.9,2.3,1.4,9.1,41,2018-07-17 09:00,4,16,21.958069,120.788928
潮州,屏東縣,80,細懸浮微粒,普通,2.6,0.36,0.3,41,20,90,31,6.3,7.4,1.1,0.9,56,2018-07-17 09:00,27,67,22.523108,120.561175
屏東,屏東縣,94,細懸浮微粒,普通,2.3,0.28,0.3,42,27,43,31,6.7,7.7,1,1.6,301,2018-07-17 09:00,33,52,22.673081,120.488033
小港,高雄市,54,細懸浮微粒,普通,5.5,0.5,0.4,38,26,57,18,17,20,3.6,2.1,311,2018-07-17 09:00,17,48,22.565833,120.337736
前鎮,高雄市,57,細懸浮微粒,普通,5.6,0.5,0.3,34,30,56,20,17,22,4.6,2.6,359,2018-07-17 09:00,18,46,22.605386,120.307564
前金,高雄市,61,細懸浮微粒,普通,2.9,0.27,0.2,38,28,54,28,8.4,10,2,3.2,323,2018-07-17 09:00,20,48,22.632567,120.288086
左營,高雄市,72,細懸浮微粒,普通,3.3,0.25,0.3,36,26,58,27,9.4,12,2.3,3.1,295,2018-07-17 09:00,24,54,22.674861,120.292917
楠梓,高雄市,94,細懸浮微粒,普通,2.3,0.24,0.3,43,25,75,35,6.3,9,2.7,2.8,321,2018-07-17 09:00,33,66,22.733667,120.328289
林園,高雄市,72,細懸浮微粒,普通,,0.29,0.2,41,24,67,28,15,19,4,1.9,192,2018-07-17 09:00,24,59,22.4795,120.41175
大寮,高雄市,87,細懸浮微粒,普通,4.4,0.31,0.3,39,20,44,33,14,17,3,1.9,336,2018-07-17 09:00,30,51,22.565747,120.425081
鳳山,高雄市,80,細懸浮微粒,普通,,0.43,0.3,42,27,49,29,13,16,2.6,2.1,3.3,2018-07-17 09:00,27,48,22.627392,120.358083
仁武,高雄市,72,細懸浮微粒,普通,2.6,0.31,0.3,42,30,63,28,14,18,3.6,1.6,304,2018-07-17 09:00,24,58,22.689056,120.332631
橋頭,高雄市,63,細懸浮微粒,普通,3,0.31,0.3,40,20,52,16,8.8,11,1.9,2.3,344,2018-07-17 09:00,20,58,22.757506,120.305689
美濃,高雄市,57,細懸浮微粒,普通,2.6,0.27,0.3,33,16,46,25,4.4,5.2,0.8,0.8,325,2018-07-17 09:00,18,46,22.883583,120.530542
臺南,臺南市,81,細懸浮微粒,普通,4.1,0.43,0.3,45,28,54,41,9.4,12,2.7,1.3,338,2018-07-17 09:00,28,50,22.984581,120.202617
安南,臺南市,78,細懸浮微粒,普通,4.5,0.42,0.4,36,18,68,46,15,19,4,0.7,2.4,2018-07-17 09:00,26,57,23.048197,120.2175
善化,臺南市,79,細懸浮微粒,普通,5.9,0.31,0.3,31,17,59,33,7.8,9.3,1.5,0.7,155,2018-07-17 09:00,27,54,23.115097,120.297142
新營,臺南市,85,細懸浮微粒,普通,2.3,0.18,0.2,39,23,55,36,4.8,5.6,0.8,1.4,331,2018-07-17 09:00,30,55,23.305633,120.31725
嘉義,嘉義市,62,細懸浮微粒,普通,3.2,0.2,0.2,43,18,46,32,6.4,8.9,2.5,0.8,296,2018-07-17 09:00,20,42,23.462778,120.440833
臺西,雲林縣,80,細懸浮微粒,普通,5.4,0.29,0.2,41,15,61,44,7.3,10,2.9,1.1,309,2018-07-17 09:00,27,54,23.717533,120.202842
朴子,嘉義縣,87,細懸浮微粒,普通,3,0.28,0.3,48,20,70,48,6.3,7.3,1.1,1.2,16,2018-07-17 09:00,30,63,23.465308,120.24735
新港,嘉義縣,84,細懸浮微粒,普通,4.2,0.57,0.4,23,9,68,39,20,26,6.4,1,77,2018-07-17 09:00,29,57,23.554839,120.345531
斗六,雲林縣,69,細懸浮微粒,普通,4.1,0.29,0.3,50,24,42,22,4.6,7.1,2.5,0.9,274,2018-07-17 09:00,23,51,23.711853,120.544994
南投,南投縣,92,細懸浮微粒,普通,1.3,0.39,0.3,37,15,45,37,8.9,10,1.4,1.3,99,2018-07-17 09:00,32,46,23.913,120.685306
二林,彰化縣,110,細懸浮微粒,對敏感族群不健康,5.3,0.26,0.3,45,14,82,43,6.4,8.5,2,1.6,174,2018-07-17 09:00,39,73,23.925175,120.409653
線西,彰化縣,98,細懸浮微粒,普通,2.5,0.39,0.4,61,23,73,43,6.6,9.6,3,1.4,146,2018-07-17 09:00,35,62,24.131672,120.469061
彰化,彰化縣,97,細懸浮微粒,普通,4.3,0.36,0.3,50,21,62,40,5.2,5.2,0,2.9,235,2018-07-17 09:00,34,60,24.066,120.541519
西屯,臺中市,111,細懸浮微粒,對敏感族群不健康,2.6,0.59,0.4,44,17,76,47,22,26,4.1,1.1,225,2018-07-17 09:00,40,61,24.162197,120.616917
忠明,臺中市,120,細懸浮微粒,對敏感族群不健康,2.4,0.63,0.4,54,24,65,53,16,18,2.4,1.6,213,2018-07-17 09:00,43,64,24.151958,120.641092
大里,臺中市,92,細懸浮微粒,普通,2.8,0.56,0.4,42,24,73,40,13,17,3.5,1.5,210,2018-07-17 09:00,32,70,24.099611,120.677689
沙鹿,臺中市,94,細懸浮微粒,普通,3.3,0.52,0.4,61,25,68,33,13,16,2.3,1.6,330,2018-07-17 09:00,33,56,24.225628,120.568794
豐原,臺中市,101,細懸浮微粒,對敏感族群不健康,2.6,0.43,0.4,56,25,62,27,10,12,2.1,1.4,342,2018-07-17 09:00,36,65,24.256586,120.741711
三義,苗栗縣,102,細懸浮微粒,對敏感族群不健康,1.8,0.3,0.3,72,34,54,36,4.3,5,0.7,2,17,2018-07-17 09:00,36,54,24.382942,120.758833
苗栗,苗栗縣,84,細懸浮微粒,普通,5.6,0.45,0.4,48,27,57,36,10,12,1.5,0.8,320,2018-07-17 09:00,29,46,24.565269,120.8202
頭份,苗栗縣,56,細懸浮微粒,普通,7.3,0.48,0.3,43,26,56,22,16,19,3.2,1.2,36,2018-07-17 09:00,17,46,24.696969,120.898572
新竹,新竹市,79,細懸浮微粒,普通,4.4,0.44,0.4,39,22,45,32,,,,1,254,2018-07-17 09:00,27,44,24.805619,120.972075
竹東,新竹縣,65,細懸浮微粒,普通,4.7,0.37,0.2,37,17,44,31,9.1,10,1.1,1.4,346,2018-07-17 09:00,21,38,24.740644,121.088903
湖口,新竹縣,53,細懸浮微粒,普通,5.9,0.27,0.2,33,16,42,24,9.6,13,3.8,1.8,197,2018-07-17 09:00,16,31,24.900142,121.038653
龍潭,桃園市,20,,良好,6,0.38,0.2,38,16,41,15,9.9,13,3.4,2,105,2018-07-17 09:00,4,22,24.863869,121.21635
平鎮,桃園市,23,,良好,2.3,0.34,0.2,11,9,11,ND,6.2,13,6.5,6.4,86,2018-07-17 09:00,7,9,24.952786,121.203986
觀音,桃園市,30,,良好,3.3,0.16,0.1,11,7,32,9,3.6,6.7,3.1,12,88,2018-07-17 09:00,9,25,25.035503,121.082761
大園,桃園市,19,,良好,3.1,0.17,0.1,13,10,30,9,5.7,14,8,11,88,2018-07-17 09:00,6,20,25.060344,121.201811
桃園,桃園市,27,,良好,6.4,0.34,0.2,10,9,16,14,6.2,12,6.1,4.2,69,2018-07-17 09:00,8,16,24.994789,121.319964
大同,臺北市,29,,良好,3.3,1.49,0.4,-,,38,13,13,88,75,,,2018-07-17 09:00,8,31,25.0632,121.513311
松山,臺北市,33,,良好,1.2,0.28,0.2,8.1,9,18,4,4.8,16,11,2.5,66,2018-07-17 09:00,10,16,25.05,121.578611
古亭,臺北市,15,,良好,1.5,0.19,0.1,8.5,10,16,3,4.7,12,7.8,4.6,100,2018-07-17 09:00,5,9,25.020608,121.529556
萬華,臺北市,11,,良好,0.6,0.28,0.1,5.8,7,12,2,6,18,12,4.2,102,2018-07-17 09:00,3,11,25.046503,121.507972
中山,臺北市,25,,良好,2.6,0.55,0.2,5.4,6,19,7,9.1,27,18,4.5,137,2018-07-17 09:00,8,14,25.062361,121.526528
士林,臺北市,21,,良好,1.5,0.14,0.1,9.3,9,4,ND,3.3,7.6,4.4,6.3,97,2018-07-17 09:00,6,7,25.105417,121.515389
淡水,新北市,19,,良好,1.9,0.13,0.1,9.5,9,18,8,1.8,4.7,2.9,,,2018-07-17 09:00,6,13,25.1645,121.449239
林口,新北市,8,,良好,1.6,0.2,0.1,9.3,9,14,ND,3.6,12,8.6,4.5,121,2018-07-17 09:00,1,8,25.077197,121.376869
菜寮,新北市,23,,良好,1.9,0.38,0.2,7.5,8,14,10,6.4,15,8.4,5.1,110,2018-07-17 09:00,7,11,25.06895,121.481028
新莊,新北市,14,,良好,2,0.24,0.1,9.5,9,14,6,4.3,11,6.2,4.5,95,2018-07-17 09:00,4,8,25.037972,121.4325
板橋,新北市,18,,良好,1,0.33,0.2,8.9,9,18,5,6.8,15,8.7,3.3,82,2018-07-17 09:00,3,19,25.012972,121.458667
土城,新北市,13,,良好,1.2,0.28,0.1,9.2,10,12,7,4.9,10,5.2,2,336,2018-07-17 09:00,4,9,24.982528,121.451861
